"Year","Site","Longitude","Latitude","pollutant","mean.obs.value"
2005,"120571035",-82.4545,27.9284,"SO2",14.617728531856
2005,"120571065",-82.5386,27.8922,"NO2",17.5598885793872
2005,"120571065",-82.5386,27.8922,"O3",0.0438467966573816
2005,"120571069",-82.4489,27.9333,"PM10",22.0508474576271
2005,"120571070",-82.4542,27.9875,"CO",1.72111111111111
2005,"120571070",-82.4542,27.9875,"PM10",29.0911602209945
2005,"120572002",-82.2786,27.9686,"PM10",19.6271186440678
2005,"120573002",-82.2304,27.9657,"EC",0.693555555555556
2005,"120573002",-82.2304,27.9657,"NH4",1.05459829059829
2005,"120573002",-82.2304,27.9657,"NO2",15.2444444444444
2005,"120573002",-82.2304,27.9657,"NO3",0.698153846153846
2005,"120573002",-82.2304,27.9657,"O3",0.0430139275766017
2005,"120573002",-82.2304,27.9657,"OC",1.95781608622414
2005,"120573002",-82.2304,27.9657,"PM25",10.8607954545455
2005,"120573002",-82.2304,27.9657,"SO4",3.47732478632479
2005,"120574004",-82.1258,27.9925,"CO",0.747945205479452
2005,"120574004",-82.1258,27.9925,"O3",0.0396703296703297
2005,"120574004",-82.1256,27.9928,"SO2",5.84109589041096
2005,"120590004",-85.6039,30.8486,"O3",0.0417881355932203
2005,"120690002",-81.7233,28.525,"O3",0.0423532934131737
2005,"120710005",-81.8789,26.6028,"PM25",8.6948275862069
2005,"120710005",-81.8779,26.602,"PM10",18.0886426592798
2005,"120712002",-81.98,26.5479,"O3",0.0377707182320442
2005,"120713002",-81.9394,26.4489,"O3",0.039626404494382
2005,"120730012",-84.3483,30.4397,"EC",0.825275862068966
2005,"120730012",-84.3483,30.4397,"NH4",0.849258620689655
2005,"120730012",-84.3483,30.4397,"NO3",0.370706896551724
2005,"120730012",-84.3483,30.4397,"OC",2.60447369017544
2005,"120730012",-84.3483,30.4397,"PM25",13.0615384615385
2005,"120730012",-84.3483,30.4397,"SO4",3.52189655172414
2005,"120730012",-84.3464,30.4397,"O3",0.0394104046242775
2005,"120730013",-84.1994,30.4844,"O3",0.0410277777777778
2005,"120810008",-82.5394,27.6228,"PM10",27.1333333333333
2005,"120813002",-82.5461,27.6328,"O3",0.0393850415512465
2005,"120813002",-82.5459,27.6331,"SO2",5.7029702970297
2005,"120814012",-82.6189,27.4806,"NO2",13.4679665738162
2005,"120814012",-82.6189,27.4806,"O3",0.0417506849315068
2005,"120814012",-82.6189,27.4806,"PM25",8.9095652173913
2005,"120814013",-82.5222,27.4494,"O3",0.039398891966759
2005,"120830003",-82.1008,29.1703,"O3",0.0397147058823529
2005,"120830003",-82.1008,29.1703,"PM25",10.4383928571429
2005,"120830004",-82.1733,29.1925,"O3",0.0378477011494253
2005,"120860019",-80.3826,25.8995,"SO2",0.103343465045593
2005,"120860027",-80.1618,25.7334,"NO2",16.1164772727273
2005,"120860027",-80.1618,25.7334,"O3",0.0394594594594595
2005,"120860029",-80.3268,25.5864,"O3",0.0358250728862974
2005,"120860031",-80.3453,25.6217,"CO",0.978343949044586
2005,"120860033",-80.3264,25.9417,"PM25",8.44109589041096
2005,"120860034",-80.4,25.6833,"CO",1.00717299578059
2005,"120861016",-80.2156,25.7942,"PM10",26.3166666666667
2005,"120861016",-80.2061,25.7942,"EC",1.87462280701754
2005,"120861016",-80.2061,25.7942,"NH4",0.750377192982456
2005,"120861016",-80.2061,25.7942,"NO3",0.67059649122807
